canton_id,coords
ZH,"[47.694957, 47.158996, 8.98499, 8.357599]"
BE,"[47.344881, 46.326894, 8.454679, 6.860569]"
LU,"[47.286966, 46.774888, 8.513653, 7.835906]"
UR,"[46.992814, 46.527904, 8.957771, 8.396612]"
SZ,"[47.222881, 46.884946, 9.00495, 8.3889]"
OW,"[46.979878, 46.752995, 8.506848, 8.041861]"
NW,"[47.018886, 46.771902, 8.573987, 8.217876]"
GL,"[47.173923, 46.795984, 9.252641, 8.870671]"
ZG,"[47.247958, 47.08098, 8.700554, 8.394797]"
FR,"[47.006945, 46.437947, 7.379993, 6.741714]"
SO,"[47.502902, 47.073816, 8.030974, 7.339618]"
BS,"[47.60082, 47.519819, 7.693915, 7.554646]"
BL,"[47.564997, 47.33692, 7.961566, 7.324648]"
SH,"[47.808, 47.551861, 8.875662, 8.40387]"
AR,"[47.46887, 47.246963, 9.630981, 9.191852]"
AI,"[47.438818, 47.233828, 9.617825, 9.3098]"
SG,"[47.546886, 46.872805, 9.673624, 8.79582]"
GR,"[47.06486, 46.169867, 10.492, 8.650653]"
AG,"[47.620921, 47.1379, 8.454679, 7.713876]"
TG,"[47.694957, 47.375928, 9.502599, 8.667892]"
TI,"[46.631991, 45.818, 9.158736, 8.381642]"
VD,"[46.986844, 46.186983, 7.248889, 6.063968]"
VS,"[46.653884, 45.858998, 8.477815, 6.76984]"
NE,"[47.165962, 46.846933, 7.088752, 6.432781]"
GE,"[46.364907, 46.127874, 6.309843, 5.956]"
JU,"[47.503898, 47.149841, 7.557822, 6.840608]"
