lake_id,Lake,Canton,Elevation,Area,is_lake_link,link,latlng,with_geojson,description,lake_type,max_length,max_width,max_depth,water_volume,Region,Date,Altitude,pH,Conductivity,Temperature,O2,16S,18S
40,Tälliseeli,Bern,2405,6.33,FALSE,,"[46.4324514, 7.598123999999999]",FALSE,,,,,,,,,,,,,,,
49,Triebtenseewli,Bern,2365,9.66,TRUE,https://en.wikipedia.org///wiki/Triebtenseewli,"[46.5527672, 8.2981783]",TRUE,"Triebtenseewli is a lake near Grimsel Pass in the Canton of Berne, Switzerland. Its surface area is 10 ha.",,,,24 m (79 ft),,,,,,,,,,
56,Gruebenseeli,Bern,2334,8.26,FALSE,,"[46.603936, 8.265267]",TRUE,,,,,,,,,,,,,,,
61,Oberaarsee,Bern,2303,162.69,TRUE,https://en.wikipedia.org///wiki/Oberaarsee,"[46.5431849, 8.2563826]",TRUE,"Oberaarsee is a hydroelectric reservoir in the Grimsel area, part of the municipality of Guttannen,  Switzerland. Its surface area is 1.47 km2 (0.57 sq mi). The Oberaar dam was completed in 1953, and is operated by Kraftwerke Oberhasli. It is drained by the Oberaarbach, which flows into the Grimselsee.The Oberaar glacier is located west of the lake.",reservoir,2.8 km (1.7 mi),,90 m (300 ft),,,,,,,,,,
67,Bachalpsee,Bern,2265,8.03,TRUE,https://en.wikipedia.org///wiki/Bachalpsee,"[46.669466, 8.021124]",FALSE,"Bachalpsee or Bachsee is a lake with an area of 8.06 ha (19.9 acres) close to the First (which can be reached with a cable car) above Grindelwald in the Bernese Oberland, Switzerland. The lake, located at an elevation of 2,265 m (7,431 ft), is split by a natural dam, the smaller part of the lake being 6 m (20 ft) lower.The lake is featured in Gmail as part of its mountain theme background (as of 2013).",,,,14.8 m (49 ft),,,,,,,,,,
86,Gaulisee,Bern,2146,28.3,FALSE,https://en.wikipedia.org///wiki/Gauligletscher,"[46.610513, 8.211542]",TRUE,,,,,,,,,,,,,,,
94,Iffigsee,Bern,2065,10.19,TRUE,https://en.wikipedia.org///wiki/Iffigsee,"[46.3868613, 7.4055737]",TRUE,"Iffigsee is a lake near Lenk, in Canton of Berne, Switzerland. The lake is located in the Iffigtal, near Rawil Pass. To the south of the lake is the Wildhorn (3,248 metres).",,,,,,,,,,,,,,
107,Sägistalsee,Bern,1937,7.25,TRUE,https://en.wikipedia.org///wiki/S%C3%A4gistalsee,"[46.6801097, 7.976250800000001]",TRUE,"Sägistalsee is a lake in Canton of Berne, Switzerland. Its surface area is 7 ha (17 acres). The lake's sediments were studied to determine past climate and human activities.",,,,9.7 m (32 ft),,,,,,,,,,
108,Steinsee,Bern,1932,11.64,TRUE,https://en.wikipedia.org///wiki/Steinsee,"[46.7250166, 8.4334318]",FALSE,"Steinsee is a lake at Stein Glacier near Susten Pass in the Canton of Berne, Switzerland.",,,,19 m (62 ft),,,,,,,,,,
115,Grimselsee,Bern,1908,268.8,TRUE,https://en.wikipedia.org///wiki/Grimselsee,"[46.5662617, 8.3043379]",TRUE,"The Grimselsee or Lake Grimsel is an artificial lake near the Grimsel Pass in the Canton of Berne, Switzerland. With a volume of 95 mio m³, it is larger than other hydroelectric reservoirs in the region: Oberaarsee, Räterichsbodensee and Gelmersee. The dam was completed in 1932 and is operated by Kraftwerke Oberhasli AG (KWO). It is located in the municipality of Guttannen.","artificial lake, hydroelectric reservoir",,,,"95 million cubic metres (77,000 acre⋅ft)",,,,,,,,,
