lake_id,Lake,Canton,Elevation,Area,is_lake_link,link,latlng,with_geojson,description,lake_type,max_length,max_width,max_depth,water_volume,Region,Date,Altitude,pH,Conductivity,Temperature,O2
9,Chüebodengletscher,Ticino/Valais,2671,6.8,FALSE,,"[46.503484, 8.445452]",FALSE,,,,,,,,,,,,,
34,Lago Scuro,Ticino,2451,7.42,FALSE,,"[46.5630257, 8.6971908]",TRUE,,,,,,,,,,,,,
36,Laghi d'Orsirora (main lake),Ticino,2444,4.29,FALSE,,"[46.5737262, 8.5275984]",FALSE,,,,,,,,,,,,,
42,Lago Sfundau,Ticino,2392,13.73,TRUE,https://en.wikipedia.org///wiki/Lago_Sfundau,"[46.46219019999999, 8.524120700000001]",TRUE,"Lago Sfundau is a lake in Ticino, Switzerland. Its surface area is 12.9 ha (32 acres).","natural, reservoir",,,,,,,,,,,
43,Lago Barone,Ticino,2391,6.87,FALSE,https://en.wikipedia.org///wiki/Lago_Barone,"[46.4025586, 8.751915799999999]",TRUE,,,,,,,,,,,,,
45,Lago Nero,Ticino,2387,13.34,TRUE,https://en.wikipedia.org///wiki/Lago_Nero_(Ticino),"[46.4489438, 8.5393738]",TRUE,"Lago Nero is a lake in the canton of Ticino, Switzerland. Its surface area is 14 ha (35 acres).",,,,,,,,,,,,
50,Laghi Chiera (main lake),Ticino,2361,9.55,FALSE,,"[46.5208172, 8.7612692]",FALSE,,,,,,,,,,,,,
54,Lago dello Stabbio,Ticino,2351,8.36,FALSE,,"[46.5603481, 8.7123787]",TRUE,,,,,,,,,,,,,
58,Lago del Narèt,Ticino,2310,73.16,TRUE,https://en.wikipedia.org///wiki/Lago_del_Nar%C3%A8t,"[46.4780556, 8.5686111]",FALSE,"Lago del Narèt is a lake in Val Sambuco, Ticino, Switzerland. Its surface area is 86 ha (210 acres). It is located in the municipality of Lavizzara. The closest village is Fusio.","natural lake, reservoir",,,104 m (341 ft),"31.6 million cubic metres (25,600 acre⋅ft)",,,,,,,
59,Lago dei Cavagnöö,Ticino,2310,47.64,TRUE,https://en.wikipedia.org///wiki/Lago_dei_Cavagn%C3%B6%C3%B6,"[46.4547708, 8.5019302]",TRUE,"Lago dei Cavagnöö is a lake in the municipality of Bignasco, Ticino, Switzerland. Its surface area is 0.46 km2 (0.18 sq mi).The arch dam Cavagnoli has a height 111 m. It was completed in 1968.",reservoir,0.9 km (0.56 mi),,100 m (330 ft),"29 million cubic metres (24,000 acre⋅ft)",,,,,,,
62,Lago di Dentro,Ticino,2298,6.47,FALSE,,"[46.550581, 8.736932699999999]",TRUE,,,,,,,,,,,,,
65,Lago d'Orsino,Ticino,2286,4.41,FALSE,,"[46.5758768, 8.539380399999999]",TRUE,,,,,,,,,,,,,
68,Lago di Morghirolo,Ticino,2264,12.16,TRUE,https://en.wikipedia.org///wiki/Lago_di_Morghirolo,"[46.4512632, 8.716439]",TRUE,"Lago di Morghirolo is a lake in Ticino, Switzerland. Its surface area is 12.1636 ha (30.057 acres).The lake can be reached by foot from Dalpe or Polpiano.",,,,,,,,,,,,
69,Lago della Sella,Ticino,2256,45.08,TRUE,https://en.wikipedia.org///wiki/Lago_della_Sella,"[46.5642186, 8.599699900000001]",FALSE,"Lago della Sella is a reservoir near St. Gotthard Pass in the canton of Ticino, Switzerland. The gravity dam with a height of 36 m was completed in 1947.The dam was planned and built under control of the Swiss engineer Fritz Gigax.","natural lake, reservoir",,,30 m (98 ft),,,,,,,,
77,Laghetti d'Antabia (main lake),Ticino,2189,7.93,FALSE,,"[46.38593830000001, 8.4924141]",FALSE,,,,,,,,,,,,,
85,Lago della Crosa,Ticino,2153,17.37,TRUE,https://en.wikipedia.org///wiki/Lago_della_Crosa,"[46.3710015, 8.4820522]",FALSE,"Lago della Crosa or rather Laghi della Crosa are a pair of lakes in the canton of Ticino, Switzerland. The upper Lago della Crosa, located at an elevation of 2153 m, has a surface area of 17 ha (42 acres). The lower lake, at an elevation of 2116 m, has an area of 7 ha (17 acres).",,,,70 m (230 ft),,,,,,,,
87,Lago di Lucendro,Ticino,2135,54.27,TRUE,https://en.wikipedia.org///wiki/Lago_di_Lucendro,"[46.5620085, 8.5406545]",TRUE,"Lago di Lucendo is a reservoir at the St. Gotthard Pass in the municipality of Airolo of the canton of Ticino, Switzerland. The dam Lucendro with a height of 73 m was completed in 1947. Media related to Lago di Lucendro at Wikimedia Commons",,,,96 m (315 ft),25×10^6 m3 (880×10^6 cu ft),,,,,,,
89,Lago Superiore,Ticino,2128,8.51,FALSE,,"[46.4758168, 8.5844916]",TRUE,,,,,,,,,,,,,
90,Laghi della Crosa (east lake),Ticino,2116,9.03,TRUE,https://en.wikipedia.org///wiki/Laghi_della_Crosa,"[46.373604, 8.492109]",FALSE,"Lago della Crosa or rather Laghi della Crosa are a pair of lakes in the canton of Ticino, Switzerland. The upper Lago della Crosa, located at an elevation of 2153 m, has a surface area of 17 ha (42 acres). The lower lake, at an elevation of 2116 m, has an area of 7 ha (17 acres).",,,,70 m (230 ft),,,,,,,,
93,Lago di Sassolo,Ticino,2074,5.56,FALSE,,"[46.4760764, 8.5930917]",TRUE,,,,,,,,,,,,,
99,Lago di Tom,Ticino,2022,9.26,TRUE,https://en.wikipedia.org///wiki/Lago_di_Tom,"[46.5503188, 8.6888334]",TRUE,"Lago di Tom is a lake in the Piora Valley, in the canton of Ticino, Switzerland. Its surface area is 13 ha (32 acres).",,,,,,,,,,,,
101,Lago di Mognola,Ticino,2003,5.87,FALSE,,"[46.4303446, 8.689253299999999]",FALSE,,,,,,,,,,,,,
105,Lago di Robièi,Ticino,1940,24.61,TRUE,https://en.wikipedia.org///wiki/Lago_di_Robi%C3%A8i,"[46.4458342, 8.5162558]",TRUE,"Lago di Robièi is a lake in Ticino, Switzerland. The reservoir has a volume of 6,700,000 cubic metres (5,400 acre⋅ft) and a surface area of 24 ha (59 acres). It is located at an elevation of 1,940 metres (6,360 ft) near Lago dei Cavagnöö and Lago del Zött.The reservoir can be reached by following the road through the Maggia Valley to Bignasco and proceeding to San Carlo. From San Carlo, an aerial tramway leads to the dam 900 metres (3,000 ft) above.The dam was completed in 1967.",reservoir,,,50 m (160 ft),,,,,,,,
106,Lago del Zött,Ticino,1940,14.83,TRUE,https://en.wikipedia.org///wiki/Lago_del_Z%C3%B6tt,"[46.4334646, 8.503680899999999]",TRUE,"Lago del Zött is a reservoir in the canton of Ticino, Switzerland, with a surface area of 0.13 km². Its 36 m arch dam was completed in 1967 and holds a volume of 1.65 mio m³.",reservoir,,,,"1.65 million cubic metres (1,340 acre⋅ft)",,,,,,,
