lake_id,Lake,Canton,Elevation,Area,is_lake_link,link,latlng,with_geojson,description,lake_type,max_length,max_width,max_depth,water_volume,Region,Date,Altitude,pH,Conductivity,Temperature,O2
1,Theodulgletschersee,Valais,2851,7.76,FALSE,https://en.wikipedia.org///wiki/Theodulgletschersee,"[45.971600, 7.715315]",TRUE,,,,,,,,,,,,,
5,Chaltwassersee,Valais,2756,4.41,FALSE,,"[46.25839999999999, 8.078289999999999]",FALSE,,,,,,,,,,,,,
6,Favergesee,Valais,2752,11.4,FALSE,https://en.wikipedia.org///wiki/Plaine_Morte,"[46.380236, 7.541269]",FALSE,,,,,,,,,,,,,
9,Chüebodengletscher,Ticino/Valais,2671,6.8,FALSE,,"[46.503484, 8.445452]",FALSE,,,,,,,,,,,,,
10,Lac du Grand Désert,Valais,2642,5.98,TRUE,https://en.wikipedia.org///wiki/Lac_du_Grand_D%C3%A9sert,"[46.0891837, 7.3353112]",TRUE,"Lac du Grand Désert is a lake in the canton of Valais, Switzerland. It is located at an elevation of 2642 m, fed by the Grand Désert Glacier.",Glacial lake,,,,,,,,,,,
11,Lac de Lona,Valais,2640,6.32,TRUE,https://en.wikipedia.org///wiki/Lac_de_Lona,"[46.1521394, 7.5293814]",TRUE,"Lac de Lona is a lake at an elevation of 2640 m above Grimentz, in the canton of Valais, Switzerland.",,,,,,,,,,,,
15,Gornersee,Valais,2599,4.13,FALSE,https://en.wikipedia.org///wiki/Gornersee,"[46.615792, 8.3302012]",TRUE,,,,,,,,,,,,,
17,Distelsee,Valais,2587,4.95,TRUE,https://en.wikipedia.org///wiki/Distelsee,"[46.463424, 8.3233047]",TRUE,"Distelsee is a high alpine lake in the canton of Valais, Switzerland. It is located at an elevation of 2587 m, below Brudelhorn. Its surface area is 4.8 ha.",natural freshwater lake,"320 metres (1,050 ft)",265 metres (869 ft),,,,,,,,,
19,Trützisee,Valais,2579,4.41,TRUE,https://en.wikipedia.org///wiki/Tr%C3%BCtzisee,"[46.5219427, 8.2512065]",TRUE,"Trützisee is a lake above Geschinen in the Canton of Valais, Switzerland.",,,,,,,,,,,,
20,Le Louché,Valais,2567,5,FALSE,,"[46.1756265, 7.501099699999999]",TRUE,,,,,,,,,,,,,
21,Grand Lé,Valais,2554,4.06,FALSE,,"[45.892685, 7.158998]",TRUE,,,,,,,,,,,,,
22,Lac des Vaux,Valais,2543,11.28,TRUE,https://en.wikipedia.org///wiki/Lac_des_Vaux,"[46.107933, 7.2719435]",TRUE,"Lac des Vaux is a lake above Verbier in the canton of Valais, Switzerland. The lake is located in the municipality of Riddes.Owing to its high altitude and its main source coming from melted snow, the lake remains cold throughout most of the year. The lake usually starts to freeze early October and only starts melting late May. July and August is when the lake reaches its warmest temperature of about 10 °C to 12 °C, this is when most people swim. Swimming is still possible until early October, however, a wet suit is recommended as the water temperature is only about 5 °C.",,,,,,Verbier,08.10.21,2545,"7,85","31,5",10,"9,13"
31,Bortelseewji,Valais,2464,13.65,TRUE,https://en.wikipedia.org///wiki/Bortelsee,"[46.287755, 8.108165]",TRUE,"Bortelsee is a reservoir in the municipality of Brig in the canton of Valais, Switzerland. Its dam was built in 1989.",reservoir,,,,"3.66 million cubic metres (2,970 acre⋅ft)",,,,,,,
32,Lac des Audannes,Valais,2453,8.45,TRUE,https://en.wikipedia.org///wiki/Lac_des_Audannes,"[46.3442575, 7.388370199999999]",TRUE,"Lac des Audannes is a lake in the Canton of Valais, Switzerland.",,,,,,,,,,,,
37,Geisspfadsee,Valais,2439,11.48,TRUE,https://en.wikipedia.org///wiki/Geisspfadsee,"[46.3491395, 8.2535822]",TRUE,"Geisspfadsee is a lake in Valais, Switzerland. Its surface area is 18 ha (44 acres). The lake is located in the municipality of Binn, at an elevation of 2439 m. It drains into Züesee (2420 m). The nearby border to Italy can be crossed at two mountain passes: Geisspfadpass (Passo della Rossa) and Grampielpass (Passo di Crampiolo). The name 'geisspfad' means, only goat may pass. A 'geiss' is a female goat in local mother tongue. Smugglers used this pass in recent times too, but it was never accessible with horses or donkeys for payloads.",,,,,,,,,,,,
46,Griessee,Valais,2386,63.69,TRUE,https://en.wikipedia.org///wiki/Griessee,"[46.4572961, 8.3697839]",TRUE,"Griessee is a lake in Valais, Switzerland. The reservoir is located in the municipality of Ulrichen and can be reached by road from Nufenen Pass. The lake is fed by the Gries Glacier. Its surface area is 55.5 ha (137 acres).The gravity dam Gries was built in 1965.",reservoir,0.9 km (0.56 mi),,66 m (217 ft),"18.6 million cubic metres (15,100 acre⋅ft)",,,,,,,
