lake_id,Lake,Canton,Elevation,Area,is_lake_link,link,latlng,with_geojson,description,lake_type,max_length,max_width,max_depth,water_volume,Region,Date,Altitude,pH,Conductivity,Temperature,O2
1,Theodulgletschersee,Valais,2851,7.76,FALSE,https://en.wikipedia.org///wiki/Theodulgletschersee,"[45.971600, 7.715315]",TRUE,,,,,,,,,,,,,
2,Lai d'Immez,Graubünden,2832,4.53,FALSE,,"[46.7277984, 10.1338334]",TRUE,,,,,,,,,,,,,
3,Lej da Prüna,Graubünden,2815,4.03,FALSE,,"[46.477777, 9.973627]",TRUE,,,,,,,,,,,,,
4,Lej da Pischa,Graubünden,2770,5.05,FALSE,,"[46.47142909999999, 9.9790387]",TRUE,,,,,,,,,,,,,
5,Chaltwassersee,Valais,2756,4.41,FALSE,,"[46.25839999999999, 8.078289999999999]",FALSE,,,,,,,,,,,,,
6,Favergesee,Valais,2752,11.4,FALSE,https://en.wikipedia.org///wiki/Plaine_Morte,"[46.380236, 7.541269]",FALSE,,,,,,,,,,,,,
7,Lej Lagrev,Graubünden,2721,6.31,FALSE,https://en.wikipedia.org///wiki/Vadret_Lagrev,"[46.456476, 9.739397]",TRUE,,,,,,,,,,,,,
8,Lai Verd,Graubünden,2702,4.5,FALSE,,"[46.6071453, 8.7778137]",TRUE,,,,,,,,,,,,,
9,Chüebodengletscher,Ticino/Valais,2671,6.8,FALSE,,"[46.503484, 8.445452]",FALSE,,,,,,,,,,,,,
10,Lac du Grand Désert,Valais,2642,5.98,TRUE,https://en.wikipedia.org///wiki/Lac_du_Grand_D%C3%A9sert,"[46.0891837, 7.3353112]",TRUE,"Lac du Grand Désert is a lake in the canton of Valais, Switzerland. It is located at an elevation of 2642 m, fed by the Grand Désert Glacier.",Glacial lake,,,,,,,,,,,
11,Lac de Lona,Valais,2640,6.32,TRUE,https://en.wikipedia.org///wiki/Lac_de_Lona,"[46.1521394, 7.5293814]",TRUE,"Lac de Lona is a lake at an elevation of 2640 m above Grimentz, in the canton of Valais, Switzerland.",,,,,,,,,,,,
12,Lej Alv,Graubünden,2639,4.19,FALSE,,"[46.3884834, 9.8035462]",TRUE,,,,,,,,,,,,,
13,Lej Sgrischus,Graubünden,2616,5.6,FALSE,,"[46.3977508, 9.801452699999999]",TRUE,,,,,,,,,,,,,
14,Lej da la Tscheppa,Graubünden,2616,7.89,TRUE,https://en.wikipedia.org///wiki/Lej_da_la_Tscheppa,"[46.4508658, 9.7512349]",TRUE,"Lej da la Tscheppa is a lake above Sils Maria, in the Engadine valley of the Grisons, Switzerland. Its surface area is 7.96 ha (19.7 acres) at an elevation of 2616 m. It used to be fed by water from the Crasta-Tscheppa Glacier (melted in 2003).",,,,32 m (105 ft),,,,,,,,
15,Gornersee,Valais,2599,4.13,FALSE,https://en.wikipedia.org///wiki/Gornersee,"[46.615792, 8.3302012]",TRUE,,,,,,,,,,,,,
16,Lai Grond,Graubünden,2594,6,FALSE,https://en.wikipedia.org///wiki/Lai_Grond,"[46.5978895, 9.6973558]",TRUE,,,,,,,,,,,,,
17,Distelsee,Valais,2587,4.95,TRUE,https://en.wikipedia.org///wiki/Distelsee,"[46.463424, 8.3233047]",TRUE,"Distelsee is a high alpine lake in the canton of Valais, Switzerland. It is located at an elevation of 2587 m, below Brudelhorn. Its surface area is 4.8 ha.",natural freshwater lake,"320 metres (1,050 ft)",265 metres (869 ft),,,,,,,,,
18,Laghet la Greina,Graubünden,2585,18.78,FALSE,https://en.wikipedia.org///wiki/Piz_Terri,"[46.607043, 9.019597]",FALSE,,,,,,,,,,,,,
19,Trützisee,Valais,2579,4.41,TRUE,https://en.wikipedia.org///wiki/Tr%C3%BCtzisee,"[46.5219427, 8.2512065]",TRUE,"Trützisee is a lake above Geschinen in the Canton of Valais, Switzerland.",,,,,,,,,,,,
20,Le Louché,Valais,2567,5,FALSE,,"[46.1756265, 7.501099699999999]",TRUE,,,,,,,,,,,,,
21,Grand Lé,Valais,2554,4.06,FALSE,,"[45.892685, 7.158998]",TRUE,,,,,,,,,,,,,
